,
1,你们是什么大学？
1,这是什么大学？
1,UIC是什么样的大学
1,北师港浸大是什么大学
2,学校类别是什么？
2,学校的办学模式是什么？
2,贵校的办学模式是什么？
2,贵校类别是什么？
3,校长是谁？ 
3,汤涛是谁？
3,你们的校长是谁？
3,贵校校长？
4,学校所在城市气候怎么样？ 
4,珠海的气候怎么样？
4,UIC这边气候如何？
4,贵校所在城市气候如何？
5,校长从事什么样的研究？
5,汤涛从事何种研究？
5,校长有什么研究领域吗？
5,汤涛研究什么？
6,可以来学校参观吗？ 
6,可以来学校看看嘛？
6,可以参观UIC吗
6,参观学校？
6,禁止参观学校吗？
7,学校周边环境怎么样？ 
7,校周围环境？
7,学校附近交通方便吗？
8,学校的占地面积有多大？
8,学校有多大？
8,学校大吗？
8,学校面积小吗？
9,学校有几个校区，地址在哪？
9,学校的地理位置？
9,UIC地址？
9,贵校地点？
10,学校近期是否会搬校区？
10,听说学校搬地方了？
10,学校的新校区在哪里？
10,什么时候能去新校区
11,学校有多少在校生？
11,学校在校生人数？
11,学校目前有多少人？
11,UIC总共有多少学生？
12,学校官方网址是什么？
12,学校官网？
12,能给一下学校官网吗？
13,学校招生网址是多少？ 
13,招生页面
13,网上怎么了解招生相关的信息？
13,学校有招生相关资料吗？
14,学校招生办公室的上班时间？ 
14,校招办的上班时间？
14,学校招生部门的上班时间？
15,学校招生办的联系方式？
15,招办联系方式？
15,招生办的电话有吗？
16,招生热线免费吗？ 
16,招生电话要钱吗？
16,打招办电话的费用怎么算？
17,有招生咨询QQ吗？ 
17,有咨询的QQ吗？
18,教务处的电话是多少？ 
18,教务处联系方式？
18,教务处有电话吗？
19,学生处的电话是？ 
19,学生处联系方式？
20,学校有哪些特色的校园文化活动？
20,学校文化活动多吗？
20,学校有特色活动吗？
20,学校除了学习外有什么活动吗？
21,学校有开放日吗？ 
21,校开放日什么时候？
21,UIC开放日？
22,UIC社团？
22,学校有哪些社团？ 
22,学校社团？
22,有什么学生组织吗？
23,学校的师资力量如何？
23,UIC的师资力量？
23,学校老师怎么样？
24,学校的教学基础设施怎么样？
24,学校教学设施怎么样？
24,校内设施怎么样？
24,UIC有什么学校设施？
25,学校教学楼有电梯吗？ 
25,教学楼有电梯吗？
25,需要爬楼梯上课吗？
26,图书馆有多大？ 
26,UIC图书馆怎么样？
26,学习资源中心情况？
26,学校藏书情况？
27,图书馆对外开放吗？ 
27,学习资源中心对外开放吗？
27,图书馆只能学生进吗？
28,学校有游泳馆吗？ 
28,学校有游泳的地方吗？
28,UIC有游泳馆吗？
29,有篮球馆吗？ 
29,学校有篮球场吗？
29,学校打篮球的地方？
29,UIC打篮球有地方吗？
30,学校的校园风气怎么样？ 
